county,year,total_deaths,population,deaths_per_100k
MORGAN,2015,10,21639.0,46.2
HANCOCK,2015,3,6605.0,45.4
DECATUR,2015,5,11681.0,42.8
CAMPBELL,2015,16,39824.0,40.2
CHEATHAM,2015,15,39713.0,37.8
MC NAIRY,2015,9,25945.0,34.7
DICKSON,2015,16,51341.0,31.2
GILES,2015,9,29024.0,31.0
ROANE,2015,15,52926.0,28.3
HARDIN,2015,7,25813.0,27.1
KNOX,2015,122,452286.0,27.0
WHITE,2015,7,26394.0,26.5
ANDERSON,2015,20,75538.0,26.5
CLAY,2015,2,7684.0,26.0
SMITH,2015,5,19279.0,25.9
JACKSON,2015,3,11573.0,25.9
HAWKINS,2015,14,56402.0,24.8
BENTON,2015,4,16154.0,24.8
HOUSTON,2015,2,8188.0,24.4
HUMPHREYS,2015,4,18281.0,21.9
CANNON,2015,3,13839.0,21.7
HICKMAN,2015,5,24502.0,20.4
WILSON,2015,26,128874.0,20.2
TIPTON,2015,12,61434.0,19.5
SEVIER,2015,18,95523.0,18.8
DAVIDSON,2015,127,678322.0,18.7
SCOTT,2015,4,21949.0,18.2
OVERTON,2015,4,21995.0,18.2
WAYNE,2015,3,16713.0,18.0
POLK,2015,3,16722.0,17.9
CARTER,2015,10,56500.0,17.7
LOUDON,2015,9,51024.0,17.6
CHESTER,2015,3,17097.0,17.5
ROBERTSON,2015,12,68575.0,17.5
HAMBLEN,2015,11,63465.0,17.3
BEDFORD,2015,8,46854.0,17.1
FRANKLIN,2015,7,41397.0,16.9
UNICOI,2015,3,17830.0,16.8
JOHNSON,2015,3,17846.0,16.8
PUTNAM,2015,12,75565.0,15.9
MARSHALL,2015,5,31753.0,15.7
UNION,2015,3,19176.0,15.6
BLOUNT,2015,19,127135.0,14.9
COFFEE,2015,8,54074.0,14.8
RUTHERFORD,2015,44,298456.0,14.7
SULLIVAN,2015,23,156519.0,14.7
SHELBY,2015,135,937847.0,14.4
HENDERSON,2015,4,27889.0,14.3
COCKE,2015,5,35262.0,14.2
SEQUATCHIE,2015,2,14654.0,13.6
WASHINGTON,2015,17,126437.0,13.4
MONROE,2015,6,45698.0,13.1
MACON,2015,3,23239.0,12.9
FAYETTE,2015,5,39336.0,12.7
MAURY,2015,11,87606.0,12.6
MONTGOMERY,2015,24,192120.0,12.5
WARREN,2015,5,40210.0,12.4
GIBSON,2015,6,49222.0,12.2
WEAKLEY,2015,4,33776.0,11.8
FENTRESS,2015,2,17940.0,11.1
MARION,2015,3,28355.0,10.6
HAMILTON,2015,37,354589.0,10.4
DE KALB,2015,2,19380.0,10.3
SUMNER,2015,18,175730.0,10.2
WILLIAMSON,2015,21,212161.0,9.9
BRADLEY,2015,10,103666.0,9.6
CLAIBORNE,2015,3,31566.0,9.5
RHEA,2015,3,32478.0,9.2
GRAINGER,2015,2,22942.0,8.7
MC MINN,2015,4,52569.0,7.6
STEWART,2015,1,13248.0,7.5
GRUNDY,2015,1,13359.0,7.5
GREENE,2015,5,68520.0,7.3
BLEDSOE,2015,1,14413.0,6.9
CROCKETT,2015,1,14554.0,6.9
OBION,2015,2,30659.0,6.5
LINCOLN,2015,2,33543.0,6.0
MADISON,2015,5,97887.0,5.1
LAWRENCE,2015,2,42591.0,4.7
HARDEMAN,2015,1,25784.0,3.9
JEFFERSON,2015,2,52887.0,3.8
CARROLL,2015,1,28137.0,3.6
CUMBERLAND,2015,2,58178.0,3.4
HENRY,2015,1,32263.0,3.1
DYER,2015,1,37751.0,2.6
LAKE,2015,0,7588.0,0.0
TROUSDALE,2015,0,8773.0,0.0
MEIGS,2015,0,11830.0,0.0
LEWIS,2015,0,11944.0,0.0
PERRY,2015,0,7882.0,0.0
MOORE,2015,0,6302.0,0.0
VAN BUREN,2015,0,5675.0,0.0
HAYWOOD,2015,0,17944.0,0.0
LAUDERDALE,2015,0,26497.0,0.0
PICKETT,2015,0,5071.0,0.0
CLAY,2016,6,7684.0,78.1
VAN BUREN,2016,3,5675.0,52.9
SMITH,2016,8,19279.0,41.5
ROANE,2016,21,52926.0,39.7
JACKSON,2016,4,11573.0,34.6
HAWKINS,2016,19,56402.0,33.7
DICKSON,2016,17,51341.0,33.1
CHEATHAM,2016,13,39713.0,32.7
KNOX,2016,147,452286.0,32.5
ANDERSON,2016,24,75538.0,31.8
MARSHALL,2016,10,31753.0,31.5
UNION,2016,6,19176.0,31.3
WHITE,2016,8,26394.0,30.3
HAMBLEN,2016,19,63465.0,29.9
UNICOI,2016,5,17830.0,28.0
MORGAN,2016,6,21639.0,27.7
OVERTON,2016,6,21995.0,27.3
HARDIN,2016,7,25813.0,27.1
DAVIDSON,2016,178,678322.0,26.2
TIPTON,2016,16,61434.0,26.0
DECATUR,2016,3,11681.0,25.7
CARTER,2016,14,56500.0,24.8
HOUSTON,2016,2,8188.0,24.4
WASHINGTON,2016,30,126437.0,23.7
LOUDON,2016,12,51024.0,23.5
SULLIVAN,2016,36,156519.0,23.0
COFFEE,2016,12,54074.0,22.2
CANNON,2016,3,13839.0,21.7
MACON,2016,5,23239.0,21.5
WILSON,2016,27,128874.0,21.0
SEQUATCHIE,2016,3,14654.0,20.5
GREENE,2016,13,68520.0,19.0
LAUDERDALE,2016,5,26497.0,18.9
SEVIER,2016,17,95523.0,17.8
MAURY,2016,15,87606.0,17.1
BLOUNT,2016,21,127135.0,16.5
HICKMAN,2016,4,24502.0,16.3
SHELBY,2016,150,937847.0,16.0
HANCOCK,2016,1,6605.0,15.1
RUTHERFORD,2016,45,298456.0,15.1
GRUNDY,2016,2,13359.0,15.0
HAMILTON,2016,53,354589.0,14.9
LINCOLN,2016,5,33543.0,14.9
BLEDSOE,2016,2,14413.0,13.9
GILES,2016,4,29024.0,13.8
PUTNAM,2016,10,75565.0,13.2
MONROE,2016,6,45698.0,13.1
ROBERTSON,2016,9,68575.0,13.1
GRAINGER,2016,3,22942.0,13.1
WARREN,2016,5,40210.0,12.4
HENRY,2016,4,32263.0,12.4
POLK,2016,2,16722.0,12.0
SUMNER,2016,21,175730.0,12.0
WEAKLEY,2016,4,33776.0,11.8
LAWRENCE,2016,5,42591.0,11.7
CHESTER,2016,2,17097.0,11.7
MC NAIRY,2016,3,25945.0,11.6
COCKE,2016,4,35262.0,11.3
FENTRESS,2016,2,17940.0,11.1
HUMPHREYS,2016,2,18281.0,10.9
MARION,2016,3,28355.0,10.6
CUMBERLAND,2016,6,58178.0,10.3
GIBSON,2016,5,49222.0,10.2
CAMPBELL,2016,4,39824.0,10.0
MC MINN,2016,5,52569.0,9.5
RHEA,2016,3,32478.0,9.2
WILLIAMSON,2016,19,212161.0,9.0
MEIGS,2016,1,11830.0,8.5
MONTGOMERY,2016,15,192120.0,7.8
STEWART,2016,1,13248.0,7.5
HENDERSON,2016,2,27889.0,7.2
MADISON,2016,7,97887.0,7.2
BRADLEY,2016,7,103666.0,6.8
CLAIBORNE,2016,2,31566.0,6.3
BENTON,2016,1,16154.0,6.2
WAYNE,2016,1,16713.0,6.0
JEFFERSON,2016,3,52887.0,5.7
JOHNSON,2016,1,17846.0,5.6
HAYWOOD,2016,1,17944.0,5.6
DE KALB,2016,1,19380.0,5.2
FAYETTE,2016,2,39336.0,5.1
FRANKLIN,2016,2,41397.0,4.8
SCOTT,2016,1,21949.0,4.6
HARDEMAN,2016,1,25784.0,3.9
CARROLL,2016,1,28137.0,3.6
OBION,2016,1,30659.0,3.3
BEDFORD,2016,1,46854.0,2.1
LEWIS,2016,0,11944.0,0.0
LAKE,2016,0,7588.0,0.0
TROUSDALE,2016,0,8773.0,0.0
DYER,2016,0,37751.0,0.0
PICKETT,2016,0,5071.0,0.0
MOORE,2016,0,6302.0,0.0
PERRY,2016,0,7882.0,0.0
CROCKETT,2016,0,14554.0,0.0
CHEATHAM,2017,24,39713.0,60.4
HANCOCK,2017,3,6605.0,45.4
ANDERSON,2017,34,75538.0,45.0
KNOX,2017,196,452286.0,43.3
UNICOI,2017,7,17830.0,39.3
DE KALB,2017,7,19380.0,36.1
LOUDON,2017,18,51024.0,35.3
BENTON,2017,5,16154.0,31.0
ROANE,2017,16,52926.0,30.2
CARTER,2017,16,56500.0,28.3
DAVIDSON,2017,184,678322.0,27.1
CLAY,2017,2,7684.0,26.0
SEVIER,2017,24,95523.0,25.1
GREENE,2017,17,68520.0,24.8
BLOUNT,2017,29,127135.0,22.8
TROUSDALE,2017,2,8773.0,22.8
OVERTON,2017,5,21995.0,22.7
COFFEE,2017,12,54074.0,22.2
HUMPHREYS,2017,4,18281.0,21.9
ROBERTSON,2017,15,68575.0,21.9
CANNON,2017,3,13839.0,21.7
UNION,2017,4,19176.0,20.9
SEQUATCHIE,2017,3,14654.0,20.5
WILSON,2017,26,128874.0,20.2
PICKETT,2017,1,5071.0,19.7
TIPTON,2017,12,61434.0,19.5
WASHINGTON,2017,24,126437.0,19.0
MARSHALL,2017,6,31753.0,18.9
SULLIVAN,2017,29,156519.0,18.5
HENDERSON,2017,5,27889.0,17.9
JACKSON,2017,2,11573.0,17.3
GILES,2017,5,29024.0,17.2
COCKE,2017,6,35262.0,17.0
SHELBY,2017,159,937847.0,17.0
HAMILTON,2017,60,354589.0,16.9
MEIGS,2017,2,11830.0,16.9
LEWIS,2017,2,11944.0,16.7
LAWRENCE,2017,7,42591.0,16.4
RUTHERFORD,2017,48,298456.0,16.1
SUMNER,2017,28,175730.0,15.9
MOORE,2017,1,6302.0,15.9
HARDEMAN,2017,4,25784.0,15.5
CUMBERLAND,2017,9,58178.0,15.5
HAMBLEN,2017,9,63465.0,14.2
BLEDSOE,2017,2,14413.0,13.9
MORGAN,2017,3,21639.0,13.9
MAURY,2017,12,87606.0,13.7
BRADLEY,2017,14,103666.0,13.5
JEFFERSON,2017,7,52887.0,13.2
PUTNAM,2017,10,75565.0,13.2
PERRY,2017,1,7882.0,12.7
CAMPBELL,2017,5,39824.0,12.6
RHEA,2017,4,32478.0,12.3
MADISON,2017,12,97887.0,12.3
HICKMAN,2017,3,24502.0,12.2
HOUSTON,2017,1,8188.0,12.2
GIBSON,2017,6,49222.0,12.2
POLK,2017,2,16722.0,12.0
LINCOLN,2017,4,33543.0,11.9
DICKSON,2017,6,51341.0,11.7
MC NAIRY,2017,3,25945.0,11.6
MONTGOMERY,2017,22,192120.0,11.5
MC MINN,2017,6,52569.0,11.4
WILLIAMSON,2017,24,212161.0,11.3
MONROE,2017,5,45698.0,10.9
SMITH,2017,2,19279.0,10.4
SCOTT,2017,2,21949.0,9.1
HAWKINS,2017,5,56402.0,8.9
MACON,2017,2,23239.0,8.6
HARDIN,2017,2,25813.0,7.7
FAYETTE,2017,3,39336.0,7.6
LAUDERDALE,2017,2,26497.0,7.5
GRUNDY,2017,1,13359.0,7.5
FRANKLIN,2017,3,41397.0,7.2
CARROLL,2017,2,28137.0,7.1
MARION,2017,2,28355.0,7.1
BEDFORD,2017,3,46854.0,6.4
CLAIBORNE,2017,2,31566.0,6.3
HENRY,2017,2,32263.0,6.2
CHESTER,2017,1,17097.0,5.8
JOHNSON,2017,1,17846.0,5.6
FENTRESS,2017,1,17940.0,5.6
GRAINGER,2017,1,22942.0,4.4
WEAKLEY,2017,1,33776.0,3.0
DYER,2017,1,37751.0,2.6
WARREN,2017,1,40210.0,2.5
STEWART,2017,0,13248.0,0.0
CROCKETT,2017,0,14554.0,0.0
WHITE,2017,0,26394.0,0.0
OBION,2017,0,30659.0,0.0
VAN BUREN,2017,0,5675.0,0.0
HAYWOOD,2017,0,17944.0,0.0
WAYNE,2017,0,16713.0,0.0
LAKE,2017,0,7588.0,0.0
DECATUR,2017,0,11681.0,0.0
TROUSDALE,2018,7,8773.0,79.8
CHEATHAM,2018,21,39713.0,52.9
KNOX,2018,218,452286.0,48.2
ROANE,2018,25,52926.0,47.2
HANCOCK,2018,3,6605.0,45.4
STEWART,2018,6,13248.0,45.3
SEVIER,2018,38,95523.0,39.8
