,year,county,state,total_deaths,avg_unemployment
0,2018,putnam,TN,8,4.433333333333334
1,2016,sumner,TN,21,4.608333333333333
2,2016,white,TN,8,5.908333333333333
3,2016,meigs,TN,1,3.9583333333333335
4,2015,gibson,TN,6,6.433333333333334
5,2017,williamson,TN,24,2.816666666666667
6,2016,wilson,TN,27,6.858333333333333
7,2016,davidson,TN,178,3.6
8,2016,houston,TN,2,5.216666666666667
9,2017,davidson,TN,184,2.816666666666667
10,2017,haywood,TN,0,4.758333333333333
11,2016,haywood,TN,1,6.191666666666666
12,2017,lewis,TN,2,3.95
13,2018,bledsoe,TN,3,5.808333333333334
14,2016,clay,TN,6,6.55
15,2018,coffee,TN,13,3.408333333333333
16,2018,lake,TN,0,4.575
17,2017,bedford,TN,3,3.966666666666667
18,2017,polk,TN,2,5.25
19,2015,giles,TN,9,7.675
20,2015,rutherford,TN,44,7.283333333333333
21,2017,perry,TN,1,4.666666666666667
22,2017,overton,TN,5,4.158333333333333
23,2018,cheatham,TN,21,2.725
24,2017,sullivan,TN,29,5.216666666666667
25,2017,wilson,TN,26,5.25
26,2017,cannon,TN,3,3.566666666666667
27,2015,coffee,TN,8,5.508333333333333
28,2015,dickson,TN,16,5.45
29,2015,campbell,TN,16,7.908333333333333
30,2017,hancock,TN,3,5.183333333333334
31,2017,maury,TN,12,4.566666666666666
32,2018,shelby,TN,123,5.808333333333334
33,2017,shelby,TN,159,5.908333333333333
34,2016,lawrence,TN,5,6.141666666666667
35,2015,smith,TN,5,5.175
36,2018,hardeman,TN,2,4.133333333333333
37,2017,madison,TN,12,5.216666666666667
38,2015,madison,TN,5,7.908333333333333
39,2018,haywood,TN,1,4.241666666666667
40,2018,anderson,TN,18,3.75
41,2017,crockett,TN,0,4.158333333333333
42,2015,rhea,TN,3,5.45
43,2015,polk,TN,3,7.875
44,2015,cheatham,TN,15,4.833333333333333
45,2016,lewis,TN,0,4.85
46,2017,rhea,TN,4,3.375
47,2016,hancock,TN,1,6.7
48,2015,lawrence,TN,2,7.283333333333333
49,2015,morgan,TN,10,7.766666666666667
50,2015,claiborne,TN,3,7.233333333333333
51,2015,grainger,TN,2,7.933333333333334
52,2018,hickman,TN,8,3.408333333333333
53,2017,jefferson,TN,7,5.25
54,2017,sequatchie,TN,3,3.966666666666667
55,2016,anderson,TN,24,4.85
56,2018,stewart,TN,6,3.591666666666667
57,2015,benton,TN,4,7.675
58,2016,madison,TN,7,6.883333333333333
59,2017,hardin,TN,2,3.091666666666667
60,2016,lincoln,TN,5,4.941666666666666
61,2015,weakley,TN,4,6.416666666666667
62,2018,clay,TN,1,4.95
63,2016,bedford,TN,1,4.941666666666666
64,2018,carter,TN,12,4.133333333333333
65,2015,haywood,TN,0,7.233333333333333
66,2017,morgan,TN,3,5.275
67,2017,robertson,TN,15,4.033333333333333
68,2016,knox,TN,147,4.333333333333333
69,2016,grundy,TN,2,4.45
70,2017,dickson,TN,6,3.375
71,2017,greene,TN,17,3.55
72,2016,trousdale,TN,0,5.633333333333333
73,2015,bedford,TN,8,6.433333333333334
74,2016,montgomery,TN,15,6.191666666666666
75,2017,stewart,TN,0,3.675
76,2018,giles,TN,4,4.925
77,2016,giles,TN,4,7.091666666666667
78,2016,pickett,TN,0,3.6
79,2016,putnam,TN,10,5.541666666666667
80,2018,dyer,TN,0,4.575
81,2018,morgan,TN,3,4.7
82,2016,blount,TN,21,4.358333333333333
83,2017,weakley,TN,1,4.158333333333333
84,2015,crockett,TN,1,6.416666666666667
85,2015,stewart,TN,1,5.25
86,2018,gibson,TN,6,3.7333333333333334
87,2015,hamblen,TN,11,7.908333333333333
88,2015,chester,TN,3,5.866666666666667
89,2015,knox,TN,122,5.45
90,2017,sevier,TN,24,5.416666666666667
91,2018,franklin,TN,1,3.75
92,2017,henry,TN,2,5.275
93,2016,cumberland,TN,6,5.908333333333333
94,2015,davidson,TN,127,4.391666666666667
95,2017,moore,TN,1,5.158333333333333
96,2018,sullivan,TN,43,4.758333333333333
97,2018,wilson,TN,19,4.758333333333333
98,2015,williamson,TN,21,4.391666666666667
99,2015,henry,TN,1,7.766666666666667
100,2016,lake,TN,0,6.183333333333334
101,2015,monroe,TN,6,5.866666666666667
102,2015,maury,TN,11,6.441666666666666
103,2018,sequatchie,TN,3,3.7333333333333334
104,2018,williamson,TN,30,2.625
105,2018,lewis,TN,1,3.75
106,2016,marion,TN,3,4.608333333333333
107,2016,campbell,TN,4,6.883333333333333
108,2017,white,TN,0,4.666666666666667
109,2017,carroll,TN,2,5.183333333333334
110,2018,chester,TN,1,3.7583333333333333
111,2017,carter,TN,16,4.566666666666666
112,2015,hickman,TN,5,5.508333333333333
113,2018,johnson,TN,1,4.433333333333334
114,2016,union,TN,6,4.941666666666666
115,2018,bradley,TN,17,3.591666666666667
116,2018,hardin,TN,5,2.725
117,2016,smith,TN,8,4.358333333333333
118,2015,putnam,TN,12,6.858333333333333
119,2016,bledsoe,TN,2,6.941666666666666
120,2017,franklin,TN,3,3.95
121,2016,greene,TN,13,4.358333333333333
122,2015,wayne,TN,3,5.508333333333333
123,2017,hardeman,TN,4,4.566666666666666
124,2015,perry,TN,0,7.066666666666666
125,2018,overton,TN,5,3.841666666666667
126,2018,roane,TN,25,4.575
127,2016,roane,TN,21,6.183333333333334
128,2015,sullivan,TN,23,7.908333333333333
129,2017,smith,TN,2,3.55
130,2017,coffee,TN,12,3.675
131,2018,obion,TN,3,3.408333333333333
132,2016,rutherford,TN,45,6.141666666666667
133,2015,hardin,TN,7,4.833333333333333
134,2016,franklin,TN,2,4.85
135,2018,bedford,TN,7,3.7333333333333334
136,2017,hawkins,TN,5,3.9916666666666667
137,2017,anderson,TN,34,3.95
138,2018,union,TN,2,3.7583333333333333
139,2016,hamilton,TN,53,4.608333333333333
140,2018,meigs,TN,0,2.725
141,2017,grainger,TN,1,5.908333333333333
142,2017,chester,TN,1,3.9916666666666667
143,2017,lincoln,TN,4,3.966666666666667
144,2015,sumner,TN,18,5.783333333333333
145,2017,washington,TN,24,5.275
146,2015,overton,TN,4,6.416666666666667
147,2015,lake,TN,0,7.175
148,2015,hancock,TN,3,8.275
149,2015,lincoln,TN,2,6.433333333333334
150,2015,marshall,TN,5,8.275
151,2018,tipton,TN,12,4.933333333333334
152,2016,warren,TN,5,6.55
153,2018,crockett,TN,2,3.841666666666667
154,2015,greene,TN,5,5.175
155,2016,obion,TN,1,4.675
