county,total_spending,population,spending_per_capita
DAVIDSON,528401694.26,678322.0,778.9835716075846
SHELBY,448863481.04,937847.0,478.6105633861387
KNOX,378455306.34,452286.0,836.761045754235
HAMILTON,267770881.07,354589.0,755.1584540693592
SULLIVAN,159340263.81,156519.0,1018.0250564468212
WILLIAMSON,121498347.34,212161.0,572.6705065492715
HAWKINS,120587345.38,56402.0,2137.997684124676
WASHINGTON,120575951.62,126437.0,953.644515608564
CARTER,114384682.2,56500.0,2024.5076495575222
BLOUNT,110282786.23,127135.0,867.4463069178432
MADISON,94925013.68,97887.0,969.7407590384832
RUTHERFORD,89661950.1,298456.0,300.4193251266518
SEVIER,80339068.16,95523.0,841.0442318603896
ANDERSON,77224386.77,75538.0,1022.3250121793004
SUMNER,74496773.92,175730.0,423.92746781995106
ROANE,70181887.65,52926.0,1326.0380087291692
CARROLL,69376201.83,28137.0,2465.657384582578
WILSON,61284870.23,128874.0,475.5409953132517
JEFFERSON,60187183.91,52887.0,1138.0336171459905
OVERTON,60174204.18,21995.0,2735.81287474426
JACKSON,58186128.32,11573.0,5027.748061868141
PUTNAM,56283971.07,75565.0,744.8418059948389
MAURY,53859881.28,87606.0,614.7967180330114
LOUDON,52897704.39,51024.0,1036.7220208137346
MARSHALL,52481889.07,31753.0,1652.8167124366203
HAMBLEN,50996184.75,63465.0,803.5324155046088
CUMBERLAND,49402141.11,58178.0,849.1550261267146
FRANKLIN,48838540.65,41397.0,1179.7603848104934
HAYWOOD,46816768.66,17944.0,2609.048632411948
WEAKLEY,44589704.12,33776.0,1320.1594066792989
MOORE,40885537.73,6302.0,6487.708303713106
GREENE,39154556.52,68520.0,571.4325236427321
ROBERTSON,36335496.74,68575.0,529.8650636529347
BEDFORD,36128673.34,46854.0,771.0904797882786
BRADLEY,35057953.77,103666.0,338.181793162657
MONTGOMERY,32346714.21,192120.0,168.3672403185509
MC MINN,32016105.67,52569.0,609.030144571896
SMITH,30773773.73,19279.0,1596.2328818922144
UNICOI,30241957.74,17830.0,1696.1277476163768
COFFEE,28949383.74,54074.0,535.3660491178755
COCKE,28095930.62,35262.0,796.7764341217174
CHEATHAM,27116920.26,39713.0,682.82225618815
DYER,24735514.36,37751.0,655.2280564753252
HICKMAN,23482548.82,24502.0,958.3931442331238
CAMPBELL,23481207.8,39824.0,589.6245429891522
MONROE,22982505.42,45698.0,502.92147183684193
TROUSDALE,22471223.17,8773.0,2561.406949732133
HENRY,21972284.6,32263.0,681.0366239965285
SEQUATCHIE,20092742.54,14654.0,1371.1438883581275
CANNON,19968762.74,13839.0,1442.9339359780329
WARREN,19968762.74,40210.0,496.611856254663
VAN BUREN,19339093.38,5675.0,3407.7697585903084
OBION,19269055.06,30659.0,628.495875925503
GILES,17956974.07,29024.0,618.6939798098126
DICKSON,17715901.91,51341.0,345.0634368243704
MARION,17714091.12,28355.0,624.7254847469583
FAYETTE,17656818.16,39336.0,448.8717246288387
FENTRESS,16173403.66,17940.0,901.5275172798216
GRUNDY,15314034.54,13359.0,1146.3458746912193
WAYNE,15275600.69,16713.0,913.9951349249087
MORGAN,15047727.83,21639.0,695.3984856046952
BLEDSOE,14626161.88,14413.0,1014.7895566502464
CLAIBORNE,14158434.96,31566.0,448.5343394791865
PICKETT,14063285.46,5071.0,2773.2765647801225
JOHNSON,13846745.02,17846.0,775.9018838955508
LAWRENCE,13404710.89,42591.0,314.7310673616492
TIPTON,12917772.09,61434.0,210.27073102842076
HARDIN,12875987.67,25813.0,498.8179471584086
DE KALB,12777990.94,19380.0,659.3390577915376
UNION,12382148.67,19176.0,645.7107149561953
GIBSON,11846783.83,49222.0,240.68066779082525
SCOTT,11609240.14,21949.0,528.9188637295549
LINCOLN,10942731.24,33543.0,326.2299508094088
POLK,10815410.79,16722.0,646.7773466092572
RHEA,10637613.33,32478.0,327.53289395898764
HARDEMAN,9402470.82,25784.0,364.66300108594476
HANCOCK,9378333.46,6605.0,1419.8839454958365
WHITE,9029991.25,26394.0,342.12287830567556
LEWIS,8650074.46,11944.0,724.2192280643002
CROCKETT,7292194.54,14554.0,501.04401126837985
MC NAIRY,7242047.99,25945.0,279.13077625746774
HENDERSON,7184785.59,27889.0,257.62076768618454
MEIGS,6790692.85,11830.0,574.0230642434489
MACON,6485347.41,23239.0,279.0717074745041
HUMPHREYS,5469680.79,18281.0,299.2003057819594
CHESTER,5124897.64,17097.0,299.7542048312569
HOUSTON,4572718.67,8188.0,558.4658854421104
STEWART,3981599.0,13248.0,300.54340277777777
GRAINGER,3846679.98,22942.0,167.66977508499696
CLAY,3790329.3,7684.0,493.2755465903175
LAUDERDALE,3787504.46,26497.0,142.94087859002906
BENTON,3773885.84,16154.0,233.61927943543395
PERRY,3637219.21,7882.0,461.45892032479065
DECATUR,2752404.15,11681.0,235.63086636418114
LAKE,634646.44,7588.0,83.63817079599367
