provider_name,opioid_claims,total_claims,opioid_percentage
"MIKO, MATTHEW",4214.0,5224.0,81.0
"FOX, JAMES",2791.0,3529.0,79.0
"KINDRICK, JUSTIN",8405.0,11286.0,74.0
"GIPSON, STEPHEN",4714.0,6423.0,73.0
"KELLER, ANDREW",2998.0,4137.0,72.0
"FRIEND, BRENDA",3900.0,5512.0,71.0
"KIZER, TRACEY",4580.0,6450.0,71.0
"CAMPBELL, ASHLEY",2867.0,4066.0,71.0
"POWELL, JOHN",2726.0,3846.0,71.0
"PAINTER, MICHELLE",5709.0,8208.0,70.0
"ELLIS, LESLIE",3653.0,5237.0,70.0
"CATHERS, SHARON",7274.0,10396.0,70.0
"COUCH, MEGAN",2910.0,4242.0,69.0
"TAYLOR, ALICIA",5088.0,7418.0,69.0
"CUTSHAW, KRISTA",2748.0,3971.0,69.0
"LORGE, JILL",2829.0,4079.0,69.0
"PEEBLES, VIRGINIA",3248.0,4696.0,69.0
"PAYNE, RACHEL",3028.0,4397.0,69.0
"TRAVIS, COURTNEY",3095.0,4471.0,69.0
"PAYNE, KYLE",2803.0,4090.0,69.0
"AGUIRRE, DENNIS",4447.0,6426.0,69.0
"SLATER, DEBORAH",3457.0,4999.0,69.0
"THREAPLETON, DEANNE",2803.0,4041.0,69.0
"HILL, CRYSTAL",3419.0,5011.0,68.0
"BRADSHAW, VIRGINIA",2839.0,4168.0,68.0
"SMITH, JERRY",3114.0,4644.0,67.0
"KIRK, SHERYL",4874.0,7242.0,67.0
"YOUNG, DOUG",3167.0,4701.0,67.0
"MCWATERS, JOSHUA",2641.0,4002.0,66.0
"SPRINGER, PATRICIA",4075.0,6215.0,66.0
"PINSON, PAUL",2947.0,4486.0,66.0
"LAWRENCE, VICTORIA",3567.0,5379.0,66.0
"JENKINS, JENNIFER",2925.0,4452.0,66.0
"MATHESON, ADAM",2856.0,4419.0,65.0
"DUNN, HOLLY",3060.0,4725.0,65.0
"TURNER, KRYSTAL",2746.0,4211.0,65.0
"WHITE, JONATHAN",2731.0,4198.0,65.0
"RENNER, PAULA",3029.0,4655.0,65.0
"MATTHEWS, WHITNEY",3043.0,4711.0,65.0
"KROLL, PETER",3690.0,5809.0,64.0
"THOMPSON, PAMELA",3014.0,4690.0,64.0
"BATES, BRITISH",2624.0,4077.0,64.0
"GILMORE, MICHAEL",2684.0,4188.0,64.0
"DRESKIN, STEPHEN",2783.0,4445.0,63.0
"BOWSER, AMY",4979.0,7853.0,63.0
"CLARK, RICHARD",5626.0,8872.0,63.0
"HARTGROVE, BRITTANY",2846.0,4512.0,63.0
"JOHNSON, MALINDA",2597.0,4118.0,63.0
"SATTERWHITE, MONICA",2998.0,4736.0,63.0
"ELLIS, TONYA",3872.0,6209.0,62.0
"MATZ, DAWN",2851.0,4608.0,62.0
"HILL, PIPER",2981.0,4810.0,62.0
"NEGASH, AIDA",2686.0,4353.0,62.0
"LADSON, JAMES",5423.0,8873.0,61.0
"HALL, JEFFREY",2894.0,4764.0,61.0
"MUENCH, RICHARD",2932.0,4797.0,61.0
"PERKINS, MELISSA",2960.0,4829.0,61.0
"CHILDERS, MEGAN",3015.0,4954.0,61.0
"JACKSON, TONIA",2967.0,4844.0,61.0
"WILSON, WILLIAM",2598.0,4352.0,60.0
"WEBB, RACHEL",4094.0,6863.0,60.0
"RAYMOND, KERI",3128.0,5189.0,60.0
"SHERRER, TRACY",3840.0,6385.0,60.0
"TUCKER, CHRISTIE",2766.0,4579.0,60.0
"SCHNAPP, MOACIR",4466.0,7474.0,60.0
"REDDING, CAYCE",4851.0,8229.0,59.0
"GONZALES, GEORGE",3144.0,5386.0,58.0
"GRAY, DEBORAH",4016.0,7050.0,57.0
"FORSYTHE, RACHEL",4081.0,7333.0,56.0
"WINEGAR, ASHLEY",3419.0,6149.0,56.0
"STANFORD, TODD",3664.0,6595.0,56.0
"FORD, DENNIS",3452.0,6135.0,56.0
"DICHIARA, JOSEPH",3684.0,6650.0,55.0
"STRATTON, TRACY",3380.0,6134.0,55.0
"HOLCOMB, THOMAS",3982.0,7423.0,54.0
"SUTTLES, TONIA",2724.0,5045.0,54.0
"GREEN, JENNIFER",5085.0,9451.0,54.0
"DEAN, EDITH",2607.0,4884.0,53.0
"RIGBY, DEREK",3747.0,7030.0,53.0
"HARNER, BRIAN",4742.0,8932.0,53.0
"SMELYANSKY, IGOR",3965.0,7413.0,53.0
"TATE, ALLEN",4653.0,8932.0,52.0
"BAILEY, BRENDA",3081.0,6042.0,51.0
"LANE, JENNIFER",2818.0,5967.0,47.0
"ROTH, JAMES",2715.0,6966.0,39.0
"ORUSA, SAMSON",4793.0,12180.0,39.0
"LINDSEY, CHARLES",2807.0,8731.0,32.0
"GRESSEL, LISA",3375.0,11942.0,28.0
"COFFEY, BRANDON",2983.0,10676.0,28.0
"SASS, KIRSTEN",2605.0,13101.0,20.0
"BLAKE, JOHN",3134.0,15961.0,20.0
"COFFEY, DAVID",9384.0,53238.0,18.0
"AGBENOHEVI, REXFORD",2847.0,17907.0,16.0
"EKO-ISENALUMHE, IMHONA",4101.0,29890.0,14.0
"CONWAY, THOMAS",2646.0,24258.0,11.0
"CYLEMAN, NABIL",3140.0,27604.0,11.0
"WILLETT, DWIGHT",5221.0,55073.0,9.0
"LOWRY, SUSAN",3095.0,40275.0,8.0
"WAKHAM, MANCEL",2734.0,42951.0,6.0
"COX, MICHAEL",2909.0,75629.0,4.0
